"date","time","size","version","os","country","ip_id"
"2019-10-05","16:52:37",84777746,"3.6.1","win","GB",237
"2019-10-05","16:53:23",84781736,"3.6.1","win","BR",238
"2019-10-05","16:53:22",74889283,"3.3.3","osx","US",3
"2019-10-05","16:53:39",30497005,"3.6.1","src","US",13
"2019-10-05","16:53:52",79425827,"latest","osx","US",3
"2019-10-05","16:54:05",79425958,"3.6.1","osx","US",239
"2019-10-05","16:54:10",1246949,"2.10.1","osx","RU",240
"2019-10-05","16:54:17",84775509,"3.6.1","win",NA,1
"2019-10-05","16:54:50",30496994,"3.6.1","src","CO",241
"2019-10-05","16:54:53",84776220,"3.6.1","win",NA,1
"2019-10-05","16:55:33",84775244,"3.6.1","win",NA,1
"2019-10-05","06:20:48",84784240,"3.6.1","win","US",242
"2019-10-05","06:21:08",84775430,"3.6.1","win","IN",243
"2019-10-05","06:21:34",84775529,"3.6.1","win",NA,1
"2019-10-05","06:22:02",84918440,"devel","win","US",12
"2019-10-05","06:23:19",84775374,"3.6.1","win","PL",244
"2019-10-05","06:23:34",84935275,"3.6.1patched","win","US",37
"2019-10-05","06:24:45",79432921,"3.6.1","osx","JP",245
"2019-10-05","06:24:59",84775834,"3.6.1","win","FR",246
"2019-10-05","06:25:30",84935401,"3.6.1patched","win","US",23
"2019-10-05","21:20:56",84775433,"3.6.1","win","GB",247
"2019-10-05","21:20:53",84776372,"3.6.1","win","US",23
"2019-10-05","21:20:47",84776728,"3.6.1","win","NZ",248
"2019-10-05","21:21:53",79433063,"latest","osx","US",3
"2019-10-05","21:21:49",84782821,"3.6.1","win",NA,1
"2019-10-05","21:22:09",79425933,"3.6.1","osx",NA,1
"2019-10-05","21:22:20",84774898,"3.6.1","win","CO",249
"2019-10-05","21:22:36",84921489,"3.6.1patched","win","US",11
"2019-10-05","21:22:45",79338810,"latest","osx","US",3
"2019-10-05","21:22:57",79425827,"latest","osx","US",3
"2019-10-05","21:23:08",74889290,"3.3.3","osx","US",3
"2019-10-05","21:23:07",4751022,"3.6.1","win","CN",250
"2019-10-05","21:24:23",84918627,"devel","win","US",20
"2019-10-05","19:05:32",84775307,"3.6.1","win",NA,1
"2019-10-05","19:05:55",84781168,"3.6.1","win","US",251
